concentration_ppm,voltage_compensated_V,day,in_fit,note
57,0.0606,2,1,corrected from 0.00606 (assumed decimal typo)
57,0.0588,2,1,
57,0.0621,2,1,
60,0.094,2,1,
60,0.0886,2,1,
60,0.087,2,1,corrected from 0.0087 (assumed decimal typo)
80,0.11,2,1,
80,0.12,2,1,
80,0.1249,2,1,
80,0.1193,2,1,
100,0.17,2,1,
100,0.178,2,1,
100,0.1781,2,1,
130,0.245,2,1,
130,0.2458,2,1,
180,0.38,1,1,
180,0.389,1,1,
180,0.386,1,1,
200,0.3957,2,1,
200,0.40,2,1,
200,0.39,2,1,
350,0.89,1,1,
350,0.88,1,1,
350,0.86,1,1,
350,0.87,1,1,
400,1.07,1,1,
400,1.07,1,1,
400,1.06,1,1,
400,1.079,1,1,
590,1.37,1,1,
590,1.37,1,1,
590,1.36,1,1,
590,1.36,1,1,
650,1.54,1,1,
650,1.56,1,1,
650,1.559,1,1,
850,1.99,1,1,
850,2.01,1,1,
850,2.01,1,1,
1100,2.12,1,0,soft saturation (knee)
1100,2.12,1,0,soft saturation (knee)
1100,2.12,1,0,soft saturation (knee)
1220,2.252,1,0,saturated
1220,2.256,1,0,saturated
1220,2.254,1,0,saturated
1220,2.254,1,0,saturated
1820,2.27,1,0,saturated
1820,2.27,1,0,saturated
1820,2.27,1,0,saturated
2330,2.27,1,0,saturated
2330,2.269,1,0,saturated
2330,2.26,1,0,saturated
3050,2.25,1,0,saturated
3050,2.257,1,0,saturated
3050,2.269,1,0,saturated
